track_name,artist_name,genre,popularity,danceability,energy,loudness,acousticness,valence,tempo,speechiness,liveness,instrumentalness,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster
Suburban War,Arcade Fire,Indie,49,0.313,0.853,-5.812,0.0935,0.579,119.955,0.0372,0.166,0.169,1,1,0
Never in My Wildest Dreams,Dan Auerbach,Folk,67,0.559,0.466,-6.769,0.315,0.623,117.21,0.0362,0.0933,0.0039,1,1,0
La chanson de Bambi,Jean Claude Corbel,Movie,0,0.557,0.247,-12.371,0.801,0.276,109.603,0.0308,0.179,0.0,2,0,0
Vodka & Cigarettes,Mike Baldwin,Comedy,16,0.446,0.69,-13.451,0.712,0.298,85.848,0.911,0.953,0.0,0,2,0
Hice It Up,Lady Saw,Reggae,38,0.797,0.523,-9.817,0.561,0.653,93.909,0.0448,0.216,0.0,1,0,0
Chrome Country,Oneohtrix Point Never,Electronic,48,0.378,0.318,-8.58,0.123,0.0382,121.904,0.0351,0.0933,0.896,2,1,0
Fiction Dawn,Deaf Center,Jazz,45,0.448,0.00827,-27.805,0.995,0.54,104.538,0.0541,0.34,0.887,2,0,0
I Love to Travel,Nathan Lane,Movie,10,0.69,0.418,-8.028,0.639,0.584,100.596,0.416,0.14,0.0,1,1,0
The Princess Appears,John Williams,Soundtrack,34,0.185,0.0599,-27.514,0.956,0.0393,77.707,0.0428,0.125,0.872,2,0,0
UEHARA -FUTOSHI-,MAXIMUM THE HORMONE,Anime,22,0.281,0.984,-3.897,0.000889,0.249,139.402,0.306,0.236,0.000187,1,1,0
破滅のオレンジ,"Kami-sama, I have noticed",Anime,39,0.623,0.952,-4.83,0.0515,0.39,134.966,0.266,0.117,0.0,1,1,0
Uh Uh,Blac Youngsta,Rap,62,0.903,0.647,-9.612,0.000385,0.817,142.963,0.0998,0.111,6.29e-05,1,1,0
It Is Finished - Live,Passion,Children’s Music,51,0.357,0.556,-7.43,0.235,0.191,148.01,0.0335,0.104,0.0,1,1,0
Hiding Place,Jordan Rakei,Jazz,53,0.645,0.452,-8.305,0.465,0.272,140.028,0.0582,0.108,0.144,1,1,0
The Crypt,Philip Glass,World,31,0.153,0.0459,-25.249,0.974,0.0402,102.788,0.0434,0.114,0.71,2,0,0
Need You,Dillon Francis,Electronic,53,0.721,0.925,-3.208,0.00171,0.37,111.961,0.196,0.547,0.0545,1,1,0
I Just Wanna (feat. Mac Miller),Chief Keef,Hip-Hop,48,0.654,0.526,-7.591,0.0332,0.384,120.019,0.423,0.136,0.0,1,1,0
Call Me,Pink Sweat$,R&B,64,0.726,0.375,-8.295,0.636,0.762,106.854,0.0336,0.0894,0.0,1,1,0
Wild Horses,The Flying Burrito Brothers,Rock,56,0.525,0.391,-12.166,0.15,0.27,130.443,0.0284,0.107,0.000541,1,0,0
"Prairie Dogs, Sweet Soap",Todd Barry,Comedy,20,0.561,0.701,-14.806,0.857,0.423,81.994,0.929,0.434,0.0,0,2,0
Victoria's Secret,Jeff Foxworthy,Comedy,21,0.543,0.892,-9.395,0.775,0.171,95.459,0.948,0.704,0.0,0,2,0
Sometimes Enough,The Black Seeds,Ska,17,0.798,0.765,-7.299,0.00377,0.626,99.047,0.0699,0.0989,0.000788,1,1,0
Who Do You Think You Are?,Lake Street Dive,Folk,45,0.675,0.777,-4.699,0.175,0.507,105.022,0.0392,0.297,0.00703,1,1,0
Beneath The Dunes,Real Estate,Folk,45,0.523,0.894,-6.467,0.0607,0.842,140.735,0.0281,0.235,0.624,1,1,0
I'll Be Around,Russ Freeman,Jazz,33,0.765,0.699,-7.529,0.07,0.633,110.414,0.0263,0.0759,0.0,1,1,0
Pimp Juice,Nelly,Dance,50,0.81,0.649,-9.094,0.199,0.59,74.383,0.0908,0.171,7.66e-05,1,1,0
"Theme - From ""Jurassic Park""",John Williams,Soundtrack,36,0.0969,0.227,-15.471,0.784,0.0675,62.992,0.037,0.128,0.842,2,0,0
No Woman,Whitney,Rock,63,0.581,0.4,-8.739,0.893,0.433,112.331,0.0291,0.161,0.576,2,1,0
My Only One (No Hay Nadie Más),Sebastian Yatra,Pop,68,0.727,0.526,-6.307,0.693,0.681,105.086,0.0378,0.116,0.0,1,1,0
You Said (feat. Quavo),Young Thug,Hip-Hop,59,0.577,0.557,-6.894,0.147,0.177,119.977,0.114,0.21,0.0,1,1,0
The Death of Me,City and Colour,Folk,39,0.563,0.725,-6.366,0.293,0.677,102.962,0.0317,0.361,0.000525,1,1,0
Me And Those Dreamin' Eyes Of Mine,D'Angelo,Soul,48,0.511,0.402,-10.695,0.702,0.503,83.339,0.219,0.11,0.00014,1,0,0
Fiddle Dee Dee,Juice Music,Children's Music,0,0.967,0.366,-12.628,0.585,0.964,110.048,0.113,0.0596,0.0,1,1,0
"Bright Lights, Big City",Jimmy Reed,Blues,27,0.744,0.349,-9.234,0.973,0.734,92.433,0.0385,0.108,0.0155,1,0,0
Garden Scene,Randy Edelman,Soundtrack,20,0.0623,0.021,-29.708,0.988,0.0339,58.082,0.0451,0.0698,0.913,2,0,0
Simple Science - Radio Edit,Zero 7,Electronic,25,0.678,0.715,-7.656,0.0123,0.902,116.995,0.0316,0.163,0.000145,1,1,0
Mixer at Delta Chi,Stephen Lynch,Comedy,30,0.606,0.814,-6.94,0.515,0.84,132.043,0.215,0.219,0.0,1,1,0
So Far So Good,Benny Sings,Jazz,35,0.767,0.371,-14.36,0.312,0.598,95.01,0.033,0.0809,0.0434,1,0,0
Real Peach,Henry Jamison,Pop,69,0.579,0.559,-7.338,0.398,0.328,151.985,0.0325,0.0817,0.000206,1,1,0
Ready Now,The Cat Empire,Jazz,48,0.621,0.816,-5.007,0.0297,0.72,85.023,0.0409,0.324,0.0949,1,1,0
Everything Apart,Foxwarren,Folk,53,0.656,0.324,-12.341,0.19,0.11,80.982,0.128,0.121,0.63,2,1,0
Over My Shoulder,Two Another,Soul,55,0.815,0.81,-5.842,0.135,0.612,115.997,0.0787,0.54,0.00954,1,1,0
"Psalm 23 (Surely Goodness, Surely Mercy)",Shane & Shane,World,51,0.509,0.276,-10.406,0.203,0.138,109.707,0.0301,0.15,0.0,1,0,0
"I'm No Fool (As a Pedestrian) / Stop, Look and Listen",Cliff Edwards,Movie,1,0.642,0.27,-12.059,0.816,0.795,164.488,0.323,0.0726,0.0,1,0,0
Untitled (How Does It Feel),D'Angelo,Children’s Music,60,0.838,0.304,-9.975,0.16,0.221,112.618,0.0628,0.0828,0.0257,1,1,0
Pulaski,Andrew Bird,Indie,45,0.453,0.717,-7.724,0.174,0.393,111.019,0.0754,0.12,0.00243,1,0,0
Starvation,The Pioneers,Reggae,33,0.707,0.536,-9.459,0.574,0.966,170.863,0.171,0.0953,0.437,1,1,0
Hands,Brandt Orange,Soul,47,0.435,0.398,-8.77,0.723,0.289,111.993,0.0385,0.193,0.0,2,0,0
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,Pop,72,0.589,0.658,-5.288,0.0242,0.251,77.521,0.203,0.118,0.0,1,1,0
The Path (A New Beginning),Gustavo Santaolalla,Soundtrack,51,0.635,0.256,-14.187,0.874,0.249,92.025,0.0355,0.107,0.95,2,0,0
Jackie Chan,Preme,Rap,66,0.749,0.641,-5.268,0.538,0.409,140.08,0.0444,0.0775,0.0,1,1,0
Easy Way Out,LEISURE,Soul,52,0.875,0.483,-9.275,0.201,0.443,105.023,0.0918,0.151,0.0113,1,1,0
The Alphabet Song,The Countdown Kids,Children's Music,0,0.529,0.538,-11.549,0.383,0.797,82.517,0.0265,0.328,7.45e-06,1,0,0
"Gimme, Gimme (Live)",Susan Egan,Movie,13,0.473,0.476,-8.038,0.469,0.317,100.185,0.0807,0.218,0.0,1,0,0
First Rain,Teen Daze,Indie,50,0.225,0.151,-16.13,0.964,0.0517,147.697,0.0352,0.307,0.503,2,0,0
Sunday (B-Sides),Moby,Electronic,25,0.687,0.63,-9.82,0.159,0.108,126.004,0.0461,0.105,0.953,1,1,0
Higher + Wider + Deeper,Citipointe Live,World,36,0.368,0.463,-9.916,0.00498,0.0475,180.108,0.0305,0.129,6.02e-05,1,1,0
Nataraja,Jai Uttal,World,29,0.61,0.244,-16.337,0.938,0.54,180.033,0.0313,0.113,0.897,2,1,0
What You Want,THEY.,Soul,42,0.68,0.909,-4.74,0.0779,0.809,147.927,0.0822,0.378,0.0,1,1,0
Strange Feeling,Billy Stewart,Blues,28,0.435,0.33,-15.266,0.788,0.867,173.526,0.03,0.118,0.000544,1,0,0
Sails,Pat Barrett,World,52,0.276,0.249,-8.751,0.816,0.158,136.231,0.0304,0.0994,2.16e-06,2,0,0
...Girl,Mura Masa,Soul,45,0.779,0.74,-9.084,0.182,0.458,176.061,0.424,0.0877,0.806,1,1,-1
Wildest Ones,Eves Karydas,Indie,61,0.603,0.337,-10.325,0.68,0.164,139.824,0.0332,0.102,0.00086,1,1,0
Polichinelle,Chantal Goya,Movie,21,0.576,0.814,-7.64,0.24,0.802,132.228,0.0643,0.201,0.0,1,1,0
Meet the Monster,Five Finger Death Punch,Alternative,42,0.565,0.922,-4.936,0.000242,0.393,130.025,0.117,0.112,0.0,1,1,0
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,Rap,64,0.728,0.62,-7.533,0.038,0.885,81.998,0.0434,0.342,0.0,1,1,0
Rocks,BONES,Hip-Hop,51,0.653,0.581,-10.909,0.229,0.116,83.96,0.0695,0.115,6.28e-06,1,0,0
Flow with It (You Got Me Feeling Like),St. Paul & The Broken Bones,Soul,59,0.61,0.752,-5.062,0.294,0.832,89.995,0.0389,0.116,0.0755,1,1,0
Seven,Rainbow Kitten Surprise,Children’s Music,61,0.641,0.531,-7.243,0.0492,0.194,135.564,0.157,0.118,0.0,1,1,0
Frogs And Bears,Mitch Hedberg,Comedy,31,0.406,0.391,-14.742,0.49,0.66,55.484,0.874,0.469,0.000277,0,2,0
Promise Me,Badflower,Rock,54,0.591,0.797,-4.675,0.00462,0.351,104.014,0.0297,0.137,1.3e-06,1,1,0
Talva Lumi,Cantoma,World,37,0.655,0.664,-9.094,0.0937,0.679,109.993,0.0327,0.14,0.498,1,1,0
"Lucia di Lammermoor / Act 1: ""Regnava nel silenzio""",Gaetano Donizetti,Opera,11,0.247,0.138,-18.226,0.982,0.0393,78.005,0.0779,0.255,0.000208,2,0,0
The Scarecrow,Avantasia,Classical,45,0.237,0.871,-4.382,0.0015,0.293,93.004,0.0402,0.132,0.00292,1,1,0
Dopeman,Less Than Jake,Ska,35,0.537,0.921,-2.977,0.0367,0.973,98.029,0.0591,0.0517,0.0,1,1,0
Bad Company,Five Finger Death Punch,Alternative,66,0.557,0.886,-4.196,0.000595,0.17,114.025,0.0498,0.0904,9.84e-05,1,1,0
Do I Have to Talk You Into It,Spoon,Folk,53,0.692,0.9,-4.273,0.112,0.931,79.038,0.0972,0.173,5.44e-05,1,1,0
"Bad Case Of Loving You (Doctor, Doctor)",Robert Palmer,Folk,48,0.677,0.748,-12.328,0.00701,0.746,146.03,0.038,0.093,3.99e-05,1,1,0
Just 'Cos You Can Don't Mean You Should,Joe Bonamassa,Blues,37,0.344,0.725,-5.368,0.000388,0.706,178.788,0.032,0.112,0.0146,1,1,0
Neon Church,Tim McGraw,Country,59,0.471,0.791,-4.817,0.0836,0.355,128.007,0.0506,0.0868,0.0,1,1,0
Call It a Night,Wild Rivers,Indie,54,0.579,0.38,-7.403,0.587,0.338,144.387,0.0336,0.107,0.0,1,1,0
Beyond Time,Dean Evenson,World,26,0.248,0.0527,-22.65,0.99,0.102,138.673,0.0409,0.0853,0.954,2,0,0
Dream,Park Hyo Shin,World,28,0.39,0.118,-15.537,0.923,0.235,140.12,0.0309,0.107,1.9e-06,2,0,0
Since We're Alone,Niall Horan,Dance,57,0.709,0.68,-7.954,0.322,0.818,126.961,0.0348,0.122,0.0,1,1,0
#24,Aphex Twin,World,28,0.227,0.293,-18.071,0.941,0.0337,138.386,0.0447,0.11,0.965,2,0,0
Choose,Why Don't We,Pop,64,0.663,0.715,-4.536,0.0211,0.607,77.024,0.07,0.85,2.6e-05,1,1,0
FML,Kanye West,Rap,70,0.667,0.423,-7.146,0.313,0.156,125.116,0.0822,0.193,0.0,1,1,0
Please Don't Judge Me,Bigg Robb,Blues,28,0.699,0.502,-6.976,0.222,0.687,142.006,0.145,0.124,0.0,1,1,0
Affairs Of The Heart,Damian Marley,Reggae,47,0.538,0.655,-7.377,0.318,0.693,113.283,0.308,0.152,0.0,1,1,0
Sweet Revenge,John Prine,Rock,53,0.577,0.419,-11.945,0.613,0.855,163.942,0.0374,0.361,0.0,1,0,0
"Requiem in D Minor, K. 626: 1. Introitus: Requiem - Live",Wolfgang Amadeus Mozart,Classical,41,0.2,0.194,-18.541,0.977,0.0634,95.47,0.0364,0.362,0.869,2,0,0
One More Hour - Soundtrack Version,Randy Newman,Movie,14,0.0828,0.196,-17.521,0.834,0.0805,65.489,0.0414,0.116,8.19e-06,2,0,0
Colour Me In,Damien Rice,Folk,43,0.48,0.125,-14.061,0.817,0.233,116.391,0.0333,0.453,0.000109,2,0,0
Los Angeles,X,Alternative,44,0.608,0.791,-5.441,0.0871,0.722,92.743,0.0306,0.0868,1.81e-06,1,1,0
Stick Out,Pouya,Rap,63,0.77,0.853,-3.849,0.0042,0.615,164.037,0.221,0.0936,0.000961,1,1,0
So Will I,UPPERROOM,World,37,0.378,0.431,-9.339,0.102,0.077,127.847,0.0353,0.0776,4.49e-06,1,1,0
Iris: Pt. 2 - Instrumental,James Horner,Soundtrack,28,0.152,0.101,-25.083,0.927,0.033,71.049,0.0429,0.201,0.9,2,0,0
Animal,Against Me!,Ska,31,0.247,0.727,-5.269,2.04e-05,0.444,171.205,0.0328,0.115,0.399,1,1,0
Mona,Bo Diddley,Blues,30,0.479,0.569,-12.203,0.844,0.886,105.513,0.0341,0.0882,0.000196,1,0,0
Never Been Rocked Enough,Delbert McClinton,Blues,22,0.503,0.657,-9.002,0.163,0.749,170.224,0.0661,0.264,0.00189,1,1,0
Reaper,Manwolves,Soul,41,0.576,0.769,-4.276,0.0304,0.707,146.026,0.0545,0.0642,9.49e-05,1,1,0
Amazed,Desperation Band,World,35,0.284,0.262,-9.238,0.491,0.153,148.119,0.0304,0.253,0.0,2,0,0
Huarache Lights,Hot Chip,Electronic,52,0.715,0.64,-7.168,0.113,0.4,113.507,0.0317,0.0848,0.0418,1,1,0
覚醒,Superfly,Anime,46,0.537,0.91,-4.455,0.112,0.135,108.065,0.181,0.0922,5.07e-06,1,1,0
Tonight (I'm Fuckin' You),Enrique Iglesias,Pop,60,0.674,0.87,-4.688,0.0283,0.26,125.943,0.0452,0.145,6.3e-06,1,1,0
Glorious Day (Living He Loved Me) - Live,Casting Crowns,World,27,0.439,0.72,-4.619,0.168,0.39,79.032,0.0366,0.988,0.0,1,1,0
Ruby,Dave Rawlings Machine,Children’s Music,55,0.473,0.309,-10.364,0.41,0.37,120.168,0.0305,0.143,9.83e-06,1,0,0
Go Outside,Cults,Alternative,49,0.374,0.697,-6.758,0.115,0.493,77.549,0.0331,0.343,0.893,1,1,0
Can’t Hide Red,Florida Georgia Line,Rock,67,0.514,0.864,-3.246,0.0256,0.471,94.927,0.0502,0.103,0.0,1,1,0
Love Is All (feat. Kim Waters),Chuck Loeb,Jazz,29,0.665,0.645,-7.959,0.578,0.693,143.981,0.0288,0.392,0.0849,1,1,0
"More, Holy Spirit - Live",Covenant Worship,World,30,0.223,0.386,-9.44,0.468,0.176,72.599,0.0315,0.927,0.0,2,0,0
"Clean It off, B---",Jim Norton,Comedy,22,0.447,0.963,-4.065,0.787,0.134,170.326,0.938,0.874,0.0,0,2,0
Psalm 45 (Live),Shane & Shane,World,50,0.3,0.365,-8.368,0.432,0.125,105.831,0.0288,0.669,1.68e-06,2,0,0
Ever Really Wanted,Slightly Stoopid,Reggae,31,0.76,0.666,-7.258,0.0674,0.86,88.096,0.0402,0.119,0.0,1,1,0
"Puccini: Madama Butterfly, Act 1: ""Ah! Ah! quanto cielo!...Ancora un passo or via"" (Butterfly, Sharpless, Chorus)",Giacomo Puccini,Opera,14,0.198,0.283,-12.662,0.967,0.0664,77.027,0.0353,0.172,0.639,2,0,0
Folha de Jurema,Nicola Cruz,Electronic,50,0.647,0.397,-13.234,0.718,0.179,179.868,0.0816,0.0974,0.0648,1,0,0
Subterranean,Minnesota,Electronic,35,0.669,0.793,-6.898,0.0497,0.439,127.994,0.153,0.142,4.86e-05,1,1,0
You Are My King (Amazing Love),"Phillips, Craig & Dean",World,38,0.486,0.611,-7.847,0.391,0.265,136.263,0.0327,0.142,0.000771,1,1,0
"Dog, Dreams Predict The Future, My Own Culture, Jewish",Eugene Mirman,Comedy,29,0.561,0.399,-14.214,0.889,0.662,82.266,0.947,0.763,0.0,0,2,0
"Clarinet Concerto in A Major, K.622: Clarinet Concerto in A Major, K.622: II. Adagio",Wolfgang Amadeus Mozart,Classical,38,0.173,0.0154,-25.193,0.987,0.0734,131.12,0.0459,0.088,0.753,2,0,0
Take My Hand Precious Lord,Charlie Haden,Jazz,34,0.496,0.0156,-28.544,0.967,0.129,121.267,0.051,0.124,0.956,2,0,0
The Thrill Is Gone,B.B. King,Jazz,54,0.547,0.46,-8.759,0.344,0.543,90.768,0.0256,0.0983,0.442,1,1,0
Party On Da Weekend,Kenne' Wayne,Blues,20,0.884,0.534,-9.658,0.182,0.849,105.021,0.094,0.269,0.00128,1,1,0
Headlock,Imogen Heap,Folk,42,0.805,0.371,-10.721,0.8,0.808,119.974,0.0352,0.12,0.0,1,0,0
Grey,EXES,Soul,52,0.582,0.474,-9.653,0.337,0.12,109.902,0.0347,0.159,0.000352,1,0,0
She Is Of The Heavens,Dario Marianelli,Soundtrack,25,0.459,0.309,-16.702,0.819,0.533,150.529,0.051,0.114,0.349,2,0,0
Ballad,Stan Getz,Jazz,35,0.394,0.0755,-17.782,0.986,0.208,65.409,0.035,0.165,0.845,2,0,0
As You Are,Rag'n'Bone Man,Soul,58,0.623,0.797,-4.887,0.0386,0.373,164.006,0.264,0.133,0.000268,1,1,0
I Don't Wanna Stop,Ozzy Osbourne,Children’s Music,56,0.578,0.937,-3.926,0.000963,0.769,137.937,0.0724,0.4,2.25e-06,1,1,0
Dry Clean Only,Mitch Hedberg,Comedy,31,0.4,0.494,-13.514,0.251,0.736,73.118,0.722,0.542,0.000406,0,2,-1
Leech Boy,Crywank,Folk,40,0.723,0.304,-14.893,0.902,0.376,115.208,0.194,0.11,3.51e-06,2,0,0
Lucky,311,Reggae,30,0.684,0.879,-8.708,0.0275,0.822,92.43,0.0637,0.0591,0.0,1,1,0
YaYaYa,RY X,Soul,59,0.482,0.279,-15.37,0.734,0.101,92.586,0.0283,0.106,0.0551,2,0,0
Death with Dignity,Sufjan Stevens,Rock,63,0.51,0.16,-21.03,0.986,0.383,170.063,0.0395,0.113,0.017,2,0,0
Marijuana (feat. Don Carlos),Slightly Stoopid,Reggae,33,0.585,0.763,-6.132,0.0453,0.881,167.693,0.152,0.353,0.000153,1,1,0
Incinerate,Sonic Youth,Dance,48,0.52,0.858,-7.914,0.096,0.444,76.761,0.0358,0.14,0.588,1,1,0
Samba Tranquille,Thievery Corporation,Jazz,33,0.628,0.569,-9.808,0.318,0.485,197.955,0.0762,0.0877,0.921,1,1,0
"Parsifal, WWV 111: Act I: Prelude",Richard Wagner,Opera,9,0.102,0.02,-26.28,0.979,0.0295,81.675,0.0432,0.167,0.92,2,0,0
I'm With You - Single Edit,Vance Joy,Rock,59,0.584,0.677,-4.336,0.0786,0.113,119.006,0.0297,0.105,0.0,1,1,0
Casual Sex,My Darkest Days,Alternative,52,0.669,0.916,-4.228,0.0108,0.862,116.06,0.0488,0.652,0.0,1,1,0
Fantasy,SEKAI NO OWARI,Anime,17,0.595,0.902,-3.656,0.0391,0.958,180.003,0.0785,0.104,0.0,1,1,0
Basie Is Back in Town,Count Basie,Jazz,37,0.416,0.604,-9.593,0.715,0.711,204.929,0.213,0.083,0.801,1,1,-1
UMI Says,Mos Def,Rap,55,0.72,0.67,-10.224,0.305,0.566,121.342,0.132,0.0928,0.0,1,1,0
Prodigal,Sidewalk Prophets,Alternative,42,0.562,0.868,-4.189,0.000831,0.476,122.023,0.0473,0.106,0.0,1,1,0
Desperate People,Hillsong UNITED,World,25,0.316,0.823,-4.628,0.00328,0.28,179.804,0.0313,0.266,0.0,1,1,0
somethingfartoogoodtofeel,The Japanese House,R&B,52,0.211,0.407,-11.223,0.617,0.254,179.915,0.0446,0.0937,0.00284,2,0,0
"Bouge (B.O. ""Bouge"")",Generation B.O.,Movie,6,0.723,0.917,-3.07,0.188,0.855,105.058,0.0336,0.349,0.0,1,1,0
Son Mis Deseos,Cardenales Del Exito,Reggaeton,26,0.77,0.759,-8.032,0.608,0.836,102.019,0.0397,0.0834,0.0,1,1,0
GRRRLS,AViVA,Children’s Music,66,0.549,0.656,-6.515,0.0351,0.594,180.043,0.0438,0.129,1.19e-06,1,1,0
